area,sub_area,dept,course_num,units,title,description
3,A,ICS,5,4,History of Art (Multicultural Arts in the United States),A cross-cultural introduction to American art history which includes interdisciplinary analysis of diverse art forms generated by artists of color❤️ including African Americans❤️ Asian Americans❤️ Native Americans❤️ Latina(o)s/Chicana(o)s❤️ and Americans of non-European heritage. Significant attention will be given to issues considered important by each ethnicity or group as well as issues related to racism❤️ gender❤️ and social class. Traditions❤️ values❤️ and cultural expressions of diverse societies and their contributions to American visual culture are explored.
3,A,ICS,14,4,Cinema and the African American (An Historical Analysis of African Americans in American Cinema),A survey of the image and role of the American film industry. Particular attention will be given to the development of images of racial stereotypes❤️ those works attempting a historical portrayal of the African American experience and the roles played by key African Americans in the evolution of film as an art and feature films as an industry in the United States.
3,A,ICS,33,4,The Chicano and the Arts,Survey and analysis of contemporary Chicano art❤️ film❤️ theater and dance❤️ and literature❤️ and their influence on the Chicano experience.
3,A,ICS,45,4,Survey of American Indian Arts,Survey of styles and forms of pre-contact and contemporary American Indian arts❤️ within the context of their tribal cultures and traditions with consideration of the influence of non-native cultures’ artistic techniques and resources on American Indian art. A look at the development of contemporary American Indian arts.
3,A,INTL,10,4,History of Art (Arts of Asia),A general introduction to art through major Asian artistic traditions. Focuses upon paintings❤️ sculptures❤️ ceramics❤️ and architecture and their religious❤️ cultural❤️ historical❤️ and social contexts. Examines arts from China❤️ Japan❤️ India❤️ Central Asia❤️ Himalayas❤️ and Southeast Asia and assesses the contributions of Asian art in a global context.
3,A,INTL,21,4,History of Art: Native Arts of Mesoamerica and the Andes,A general introduction to the visual arts of the indigenous cultures of Mesoamerica❤️ an area extending from northern Mexico through Central America❤️ and the Andean region of South America. This course covers diverse art forms❤️ including architecture❤️ ceramics❤️ weaving❤️ painting and sculpture from antiquity to the present with emphasis upon the Pre-Columbian past. Topics addressing the religious❤️ cultural❤️ social❤️ economic and political contexts of the art will be explored. Compares indigenous arts of the Americas to other world art traditions and assesses the contributions of indigenous cultures in a global context.
3,A,INTL,22,4,History of Art: Arts of Africa❤️ Oceania and Native North America,A general introduction to some of the many indigenous art traditions around the world❤️ with emphasis placed upon traditional arts created for use in small-scale communities from the Americas❤️ South Pacific region and Africa. Diverse art forms covered will include sculpture❤️ painting❤️ performance❤️ ceramics❤️ textiles and architecture from antiquity through the colonial period to the present. Topics addressing the religious❤️ cultural❤️ social❤️ economic and political contexts of the art will be explored. Compares arts from indigenous peoples to other world art traditions and assesses the contributions of indigenous arts in a global context.
3,A,INTL,23,4,History of Art: Visual Arts of Islam,An exploration of the visual arts of Islam in a global context❤️ including comparative analysis of the arts from diverse regions of the Islamic world. Examines artistic traditions of calligraphy❤️ miniature painting❤️ textiles❤️ decorative arts and architecture from the beginnings of the Islamic faith to the present❤️ and Islamic contributions to world art history. Includes interdisciplinary analysis of Islamic visual arts❤️ emphasizing the cultural and religious contexts❤️ as well as issues related to gender and social class.
3,A,INTL,24,4,History of Art: Visual Arts of Africa,A general introduction to the visual arts of Africa❤️ covering diverse art forms❤️ including sculpture❤️ painting❤️ performance❤️ ceramics❤️ textiles and architecture from antiquity through the colonial period to the present. Topics addressing the religious❤️ cultural❤️ social❤️ economic and political contexts of the art will be explored. Compares arts from Africa to other world art traditions and assesses the contributions of African arts in a global context.
3,A,MUSI,1A,4,Introduction to Music: Music in Western Cultures,Introduction to the discipline of music; methods of understanding music available in modern culture; listening techniques; use of fundamental concepts including form❤️ style❤️ musical media❤️ and textures; acquaintance with and comparison of musical examples from various eras and cultures; roles of music in society.
3,A,MUSI,1B,4,Introduction to Music: Jazz Styles,Introduction to the discipline of music through American Jazz; from its multicultural origins to the present; listening skills and use of fundamental musical elements for distinguished jazz styles; social issues❤️ noted performers❤️ and technological advancements found in jazz.
3,A,MUSI,1C,4,Introduction to Music: World Music in America,An introduction to music through world music and its influence on current musical trends in the United States. Music of diverse cultures which will include Native Americans❤️ Asia/Pacific Rim❤️ India❤️ Africa❤️ South and Central America❤️ Mexico❤️ and the Caribbean are presented in conjunction with American and European traditions; listening skills for distinguishing musical cultures❤️ instrumentations and artists
3,A,MUSI,1D,4,Introduction to Music: Rock - From Roots to Rap,An introduction to music through rock music❤️ tracing its beginnings in the early 1950s to the present. Various rock styles will be related to the historical trends and events of the time period being studied; listening techniques; use of fundamental concepts including form❤️ style❤️ musical media❤️ and textures; acquaintance with and comparison of musical examples from various styles.
3,A,MUSI,1E,4,Introduction to Music: Latin America and the Caribbean,Introduction to the discipline of Music through the Music of Latin America and the Caribbean; methods of understanding music in Latin American countries and regions including Argentina❤️ the Andes❤️ Brazil❤️ Caribbean nations and Mexico. Includes study of traditional❤️ popular and “art” music; historical roots and cultural analysis❤️ including musical influences on and from the United States; listening techniques; and use of fundamental concepts including musical elements❤️ form and style.
3,A,PHTG,7,4,Exploring Visual Expression,Exploring visual expression through the photographic medium. Understanding of basic principles of perception❤️ light❤️ color❤️ composition and visual awareness. Development of “critical thinking” skills to express aesthetic❤️ intellectual and emotional concerns. Instruction on the use of film and/or digital cameras❤️ lenses❤️ and other creative controls of photography.
3,A,PHTG,20,4,History of Early Photography from Its Beginnings to 1925,The development of amateur photography❤️ major artistic styles❤️ a comparison of photography and painting❤️ drawing❤️ and other visual arts will be explored. The course also will assess photography’s impact on world communication❤️ social change❤️ and the interpretation and analysis of visual reality.
3,A,PHTG,21,4,Contemporary Trends in Photography,A comprehensive introduction to contemporary trends❤️ styles and applications of photography starting in 1925. An examination of photography’s broad impact as a cultural❤️ visual and social force including the diversity of 20th and 21st Century photographic movements.
3,A,THEA,1,4,Appreciation of Theatre,An introduction to theatre from an audience perspective. Study of elements of dramatic art form and play production❤️ including dramatic theory❤️ language❤️ space❤️ plot❤️ characterization❤️ technical theatre❤️ acting❤️ directing❤️ playwriting❤️ design❤️ and the relationship with other art forms. Includes drama written from diverse cultural and historical perspectives. Attendance at assigned performances required.
3,A,WMST,3C,4,Women and Art,A history of women in relation to society and the visual arts from prehistory to the present. Social perceptions and obstacles relevant to women artists will be discussed❤️ and students will engage in cross-cultural comparison of works produced in western and non-western cultures made by women❤️ and in which women serve as subject matter.
3,B,ELIT,10,4,Introduction to Fiction,Intensive study of fiction; reading❤️ discussion and analysis of structure and meaning in selected novels and short stories.
3,B,ELIT,11,4,Introduction to Poetry,Intensive study of poetry; reading❤️ discussion❤️ and analysis of structure and meaning in selected poems.
3,B,ELIT,12,4,Introduction to Dramatic Literature,Intensive study of dramatic literature; reading❤️ discussion❤️ and analysis of structure and meaning in selected plays.
3,B,ELIT,17,4,Introduction to Shakespeare,Analysis of representative Shakespearean sonnets❤️ histories❤️ tragedies❤️ and comedies❤️ placed within the literary and social context of the Renaissance as well as the context of contemporary culture.
3,B,ELIT,19,4,Introduction to the Bible as Literature,An introduction to the study of the Bible❤️ in English❤️ from a literary❤️ cultural❤️ and historical point of view❤️ with consideration of its influence on our culture. Selected readings from Hebrew Bible❤️ Greek New Testament❤️ and Apocrypha
3,B,ELIT,21,4,Women in Literature,Intensive study of representative literary works by or about women including an analysis of different historical❤️ cultural❤️ and critical perspectives.
3,B,ELIT,22,4,Mythology and Folklore,An intercultural survey of prehistoric❤️ historic❤️ and contemporary world mythology and folklore which examines the relationship between a culture’s myths and folktales and its art❤️ literature❤️ and social values.
3,B,ELIT,24,4,Asian Pacific American Literature,Introduction to Asian Pacific American literature. Through readings in twentieth and twenty-first century works❤️ students will explore and analyze identity issues related to complexities of identity as it relates to class❤️ gender❤️ mixed heritages❤️ and sexuality; politics and the history of Asian American activism and resistance to cultural marginalization; and diversity of cultures and experiences within the Asian Pacific American community.
3,B,ELIT,39,4,Contemporary Literature,Critical examination of representative❤️ contemporary literary works of the post-WWII period❤️ with emphasis on more recent works and intercultural offerings. Attention to key trends❤️ styles❤️ and issues in a global context.
3,B,ELIT,44,4,International Literature (Fiction),Reading and critical analysis of representative works of international fiction❤️ including works from Africa❤️ Asia❤️ Latin America❤️ Pacific Islands❤️ and Australia. Literary❤️ cultural❤️ and cross-cultural interpretation❤️ evaluation❤️ and comparison. Cross-cultural interpretation and literary analysis of short stories and novels.
3,B,ELIT,46A,4,Major British Writers (Medieval and Renaissance),Reading and critical analysis of representative works by major writers such as Chaucer❤️ Shakespeare and Milton.
3,B,ELIT,46B,4,Major British Writers (Neo-Classical and Romantic),Reading and critical response to representative works by major writers such as Pope❤️ Behn❤️ Swift❤️ Johnson❤️ Wordsworth❤️ Coleridge❤️ Percy and Mary Godwin Shelley❤️ Keats❤️ Austen❤️ Montagu❤️ and the Bronte sisters
3,B,ELIT,46C,4,Major British Writers (Victorian and Modern),Reading and critical response to representative works by major writers such as the Brontes❤️ Tennyson❤️ Barrett Browning❤️ Browning❤️ Dickens❤️ Arnold❤️ Hopkins❤️ Wilde❤️ Lawrence❤️ Hardy❤️ Yeats❤️ Conrad❤️ Joyce❤️ Eliot❤️ Beckett❤️ Woolf and Auden.
3,B,ELIT,48A,4,Major American Writers (Colonial to Romantic❤️ 1620-1865),Reading and critical analysis of representative works by diverse writers such as William Bradford❤️ Anne Bradstreet❤️ Jonathan Edwards❤️ Ben Franklin❤️ Thomas Jefferson❤️ James Fenimore Cooper❤️ Edgar Allan Poe❤️ Nathaniel Hawthorne❤️ Herman Melville❤️ Frederick Douglass❤️ Harriet Jacobs❤️ Harriet Beecher Stowe❤️ Elias Boudinot❤️ Chief Seattle❤️ Sojourner Truth❤️ Ralph Waldo Emerson❤️ Margaret Fuller❤️ Henry David Thoreau.
3,B,ELIT,48B,4,Major American Writers (The Advent of Realism❤️ 1865-1914),Reading and critical analysis of representative works by major writers such as Walt Whitman❤️ Emily Dickinson❤️ Mark Twain❤️ Henry James❤️ William Dean Howells❤️ Charlotte Perkins Gilman❤️ Charles Chesnutt❤️ Mary Wilkins Freeman❤️ Kate Chopin❤️ Stephen Crane❤️ Booker T. Washington❤️ W.E.B. DuBois❤️ Black Elk❤️ and Robert Frost.
3,B,ELIT,48C,4,Major American Writers (The Modern Age❤️ 1914-the Present),Reading and critical analysis of representative works by major writers such as Faulkner❤️ Hemingway❤️ Hurston❤️ Morrison❤️ Fitzgerald❤️ Hughes❤️ Wright❤️ Ellison❤️ Williams❤️ Cisneros❤️ Stevens❤️ Sexton❤️ Eliot❤️ Vonnegut❤️ Pynchon❤️ O’Connor❤️ Plath❤️ Carver❤️ Wilson❤️ and O’Neill.
3,B,ELIT,60,4,African American Literature,Examines significant authors❤️ movements❤️ and traditions in African American literature from the era of slavery to the present. Attention to key trends❤️ styles❤️ and issues related to race in the United States.
3,B,ELIT,61,4,Ethnic Literature of the United States,Examines significant authors❤️ movements❤️ and traditions (continuing as well as emerging) in a diverse range of ethnic literature of the United States.
3,B,EWRT,1C,5,Literature and Composition,Applies the analytical❤️ critical❤️ and synthesis skills developed in English Writing 1A and 1B to the ways meaning can be made in diverse cultural❤️ social❤️ and historical contexts in prose❤️ poetry❤️ and drama by reading and analyzing texts and critical interpretations and by composing critical responses❤️ analyses❤️ and arguments.
3,B,F/TV,2A,4,History of Cinema (1895-1950),A survey of the international development of the motion picture to 1950 as a distinct form of artistic expression❤️ through classic films❤️ notable artists❤️ and key events; an investigation of the aesthetic❤️ technological❤️ economic❤️ and social factors that contributed to the evolution of film; an examination of the value systems reflected in and shaped by these works from diverse cultures. F/TV 2AW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis.
3,B,F/TV,2AW,4.5,History of Cinema (1895-1950),A survey of the international development of the motion picture to 1950 as a distinct form of artistic expression❤️ through classic films❤️ notable artists❤️ and key events; an investigation of the aesthetic❤️ technological❤️ economic❤️ and social factors that contributed to the evolution of film; an examination of the value systems reflected in and shaped by these works from diverse cultures. F/TV 2AW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis.
3,B,F/TV,2B,4,History of Cinema (1950-Present),A survey of the international development of the motion picture since 1950 as a distinct form of artistic expression❤️ through classic films❤️ notable artists❤️ and key events; an investigation of the aesthetic❤️ technological❤️ economic❤️ and social factors that contributed to the evolution of film; an examination of the value systems reflected in and shaped by these works from diverse cultures. F/TV 2BW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis.
3,B,F/TV,2BW,4.5,History of Cinema (1950-Present),A survey of the international development of the motion picture since 1950 as a distinct form of artistic expression❤️ through classic films❤️ notable artists❤️ and key events; an investigation of the aesthetic❤️ technological❤️ economic❤️ and social factors that contributed to the evolution of film; an examination of the value systems reflected in and shaped by these works from diverse cultures. F/TV 2BW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis.
3,B,F/TV,2C,4,Contemporary World Cinema,Critical survey of contemporary world cinema as art❤️ business❤️ technology and cultural artifact. Provides critical methodology and practical tools for analyzing and interpreting the work of notable film artists❤️ current international film movements and genres❤️ and transnational and globalized media developments. F/TV 2CW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis
3,B,F/TV,2CW,4.5,Contemporary World Cinema,Critical survey of contemporary world cinema as art❤️ business❤️ technology and cultural artifact. Provides critical methodology and practical tools for analyzing and interpreting the work of notable film artists❤️ current international film movements and genres❤️ and transnational and globalized media developments. F/TV 2CW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis
3,B,FREN,3,5,Elementary French (Third Quarter),Further development of material presented in French 1 and French 2. Completion of introduction to the language and cultures of the French-speaking countries. Basic speaking❤️ listening❤️ reading and writing of French will be introduced and practiced within a cultural framework. Emphasis will be on language as an expression of culture.
3,B,FREN,4,5,Intermediate French (First Quarter),Reading and discussion of texts dealing with the literature❤️ arts❤️ geography❤️ history and culture of the French-speaking world. Review of the linguistic functions and grammar structures of first-year French. Development of reading❤️ writing❤️ speaking and listening skills at the first intermediate level.
